SocialInfo,Avro,0,64,1699001824096,16
SocialInfo,Avro,0,64,1699001825127,53
SocialInfo,Avro,0,64,1699001825996,42
SocialInfo,Avro,0,64,1699001826997,37
SocialInfo,Avro,0,64,1699001828014,44
SocialInfo,Avro,0,64,1699001829046,33
SocialInfo,Avro,0,64,1699001830022,47
SocialInfo,Avro,0,64,1699001830995,37
SocialInfo,Avro,0,64,1699001832010,43
SocialInfo,Avro,0,64,1699001833014,42
SocialInfo,Avro,0,64,1699001833991,42
SocialInfo,Avro,0,64,1699001834990,38
SocialInfo,Avro,0,64,1699001835991,39
SocialInfo,Avro,0,64,1699001837002,39
SocialInfo,Avro,0,64,1699001838001,42
SocialInfo,CapnProto,0,64,1699001839008,14
SocialInfo,CapnProto,0,64,1699001840061,0
SocialInfo,CapnProto,0,64,1699001841056,0
SocialInfo,CapnProto,0,64,1699001841992,0
SocialInfo,CapnProto,0,64,1699001842990,53
SocialInfo,CapnProto,0,64,1699001844020,39
SocialInfo,CapnProto,0,64,1699001845002,43
SocialInfo,CapnProto,0,64,1699001846013,45
SocialInfo,CapnProto,0,64,1699001847055,40
SocialInfo,CapnProto,0,64,1699001848012,41
SocialInfo,CapnProto,0,64,1699001849029,40
SocialInfo,CapnProto,0,64,1699001849993,37
SocialInfo,CapnProto,0,64,1699001851027,45
SocialInfo,CapnProto,0,64,1699001852009,41
SocialInfo,CapnProto,0,64,1699001853022,44
SocialInfo,CapnProto,0,64,1699001854026,41
SocialInfo,FlatBuffers,0,64,1699001854997,13
SocialInfo,FlatBuffers,0,64,1699001856124,0
SocialInfo,FlatBuffers,0,64,1699001857051,0
SocialInfo,FlatBuffers,0,64,1699001858036,0
SocialInfo,FlatBuffers,0,64,1699001858999,9
SocialInfo,FlatBuffers,0,64,1699001860003,49
SocialInfo,FlatBuffers,0,64,1699001860996,53
SocialInfo,FlatBuffers,0,64,1699001862053,42
SocialInfo,FlatBuffers,0,64,1699001863025,41
SocialInfo,FlatBuffers,0,64,1699001864007,50
SocialInfo,FlatBuffers,0,64,1699001864994,40
SocialInfo,FlatBuffers,0,64,1699001865991,38
SocialInfo,FlatBuffers,0,64,1699001866987,31
SocialInfo,FlatBuffers,0,64,1699001867993,53
SocialInfo,FlatBuffers,0,64,1699001869009,42
SocialInfo,FlatBuffers,0,64,1699001870043,45
SocialInfo,FlatBuffers,0,64,1699001870995,39
SocialInfo,FlatBuffers,0,64,1699001872021,41
SocialInfo,MessagePack-CSharp,0,64,1699001872993,18
SocialInfo,MessagePack-CSharp,0,64,1699001874316,0
SocialInfo,MessagePack-CSharp,0,64,1699001875142,0
SocialInfo,MessagePack-CSharp,0,64,1699001875991,0
SocialInfo,MessagePack-CSharp,0,64,1699001877140,36
SocialInfo,MessagePack-CSharp,0,64,1699001877991,54
SocialInfo,MessagePack-CSharp,0,64,1699001878987,44
SocialInfo,MessagePack-CSharp,0,64,1699001880031,45
SocialInfo,MessagePack-CSharp,0,64,1699001880994,38
SocialInfo,MessagePack-CSharp,0,64,1699001882006,41
SocialInfo,MessagePack-CSharp,0,64,1699001882994,31
SocialInfo,MessagePack-CSharp,0,64,1699001884028,57
SocialInfo,MessagePack-CSharp,0,64,1699001885008,43
SocialInfo,MessagePack-CSharp,0,64,1699001885990,38
